Tipo_Noticia,Texto,Classificação,Percentual_Negativa,Percentual_Positiva,Percentual_Neutra,Data_Cadastro
Desmatamento,area sob alertas de desmatamento na amazonia em agosto de 2024 foi a menor em seis anos segundo dados do sistema de monitoramento deterb do instituto nacional de pesquisas espaciais inpe a queda foi de 106 em relacao a agosto de 2023 quando o pais ja havia retomado as politicas ambientais e de 697 em relacao ao mesmo mes de 2022 manter a floresta em pe e um dos compromissos do governo federal ao lado do trabalho de combate aos incendios criminosos e de responsabilizacao dos culpado,Positiva,,,,2025-05-03 00:00:00
Desmatamento,a area desmatada na amazonia foi de 11088 km² entre agosto de 2019 e julho de 2020 de acordo com numeros oficiais do governo federal divulgados nesta segundafeira 30 pelo instituto nacional de pesquisas espaciais inpe de acordo com o inpe tratase de um aumento de 95 em relacao ao periodo anterior agosto de 2018 a julho de 2019 que registrou 10129 km² de area desmatada,Negativa,,,,2025-05-03 00:00:00
Queimadas,as queimadas no cerrado estao aumentando no ano de 2025,Negativa,,,,2025-05-03 00:00:00
Políticas Públicas,o governo esta conseguindo controlar o desmatamento e as queimadas em noso pais,Positiva,,,,2025-05-03 00:00:00
Desmatamento,pesquisadores divulgaram um novo levantamento sobre a atual situacao do desmatamento no cerrado analisando dados de perda de vegetacao nativa e os possiveis impactos ambientais e economicos o estudo indica que embora existam iniciativas voltadas a preservacao a conversao de areas naturais para uso agricola continua sendo um dos principais fatores de alteracao do biomaos especialistas destacam que a tendencia de expansao da producao rural requer estrategias para equilibrar desenvolvimento e conservacao enquanto alguns setores buscam solucoes sustentaveis outros apontam desafios para a implementacao de medidas mais eficazes de protecao ao cerrado,Neutra,,,,2025-05-03 00:00:00
Desmatamento,um relatorio divulgado por pesquisadores ambientais analisou a taxa de desmatamento no cerrado nos ultimos anos os dados indicam que embora haja variacoes sazonais a perda de vegetacao mantem um ritmo semelhante ao de periodos anteriores,Neutra,,,,2025-05-03 00:00:00
Desmatamento,pesquisadores alertam que o ritmo do desmatamento no cerrado tem aumentado nos ultimos anos colocando em risco diversas especies nativas e os recursos hidricos da regiao a conversao de areas naturais para a agricultura e pecuaria continua sendo um dos principais fatores da destruicao do bioma alem dos impactos ambientais comunidades locais enfrentam dificuldades com a perda de vegetacao afetando o equilibrio climatico e a disponibilidade de agua especialistas reforcam a necessidade de politicas mais rigidas e medidas de fiscalizacao para conter a degradacao do cerrado e preservar seus ecossistemas unicos,Negativa,,,,2025-05-03 00:00:00
Restauração Ecológica,projetos de reflorestamento e manejo sustentavel tem avancado significativamente na recuperacao de areas desmatadas no cerrado organizacoes ambientais pesquisadores e produtores rurais estao implementando tecnicas inovadoras como o plantio de especies nativas e a regeneracao natural assistida para fortalecer a biodiversidade do bioma alem disso politicas de incentivo a conservacao e praticas agricolas mais sustentaveis tem ajudado a reduzir o impacto ambiental na regiao especialistas afirmam que com a continuidade desses esforcos sera possivel garantir um equilibrio entre o desenvolvimento economico e a preservacao do ecossistema,Positiva,,,,2025-05-03 00:00:00
Políticas Públicas,apesar de alertas previos o brasil enfrentou graves incendios devido a falta de acoes preventivas e planos de emergencia especialistas apontam que essa inacao governamental prejudicou a imagem do pais e afastou investimentos internacionais,Negativa,,,,2025-05-03 00:00:00
Desmatamento,desmatamento global ameaca ecossistemas e acelera mudancas climaticas relatorios recentes apontam que o desmatamento em escala global continua a avancar com florestas tropicais sendo destruidas a taxas alarmantes regioes como a amazonia o sudeste asiatico e a bacia do congo estao entre as mais afetadas perdendo vastas areas de cobertura vegetal devido a expansao agricola mineracao e exploracao madeireira especialistas alertam que a destruicao dessas florestas nao apenas ameaca a biodiversidade local mas tambem contribui significativamente para o aumento das emissoes de gases de efeito estufa agravando as mudancas climaticas a perda de habitats naturais coloca em risco milhares de especies e compromete a subsistencia de comunidades que dependem diretamente desses ecossistemas,Negativa,,,,2025-05-03 00:00:00
Políticas Públicas,paises ampliam esforcos para reflorestamento e combate ao desmatamento global um numero crescente de nacoes ao redor do mundo esta intensificando suas iniciativas para restaurar florestas degradadas e reduzir o desmatamento programas de reflorestamento liderados por governos ongs e empresas privadas estao plantando milhoes de arvores em regioes criticas com foco na preservacao da biodiversidade e na mitigacao dos efeitos das mudancas climaticas alem disso acordos internacionais tem incentivado politicas de conservacao em areas vulneraveis promovendo tecnologias sustentaveis e alternativas economicas para comunidades locais especialistas destacam que com colaboracao global e comprometimento continuo ha esperanca de reverter os danos e proteger os ecossistemas para futuras geracoes,Positiva,,,,2025-05-03 00:00:00
Desmatamento,relatorio apresenta dados sobre o desmatamento no cerrad um estudo recente trouxe informacoes detalhadas sobre o desmatamento no cerrado destacando que embora os numeros apresentem variacoes regionais a area total impactada permanece estavel em relacao aos anos anteriores os pesquisadores apontam que fatores como o avanco agricola e a legislacao ambiental tem influenciado as taxas de desmatamento na regiao com base nesses dados especialistas sugerem que o acompanhamento continuo e a adocao de praticas mais sustentaveis sao essenciais para entender e mitigar os impactos no bioma,Neutra,65.05,31.69,-3.25,2025-05-03 00:00:00
Desmatamento,pesquisadores acompanham dinamica do desmatamento em areas criticas do cerrado estudos recentes tem monitorado a dinamica do desmatamento em diversas areas do cerrado avaliando tanto os impactos ambientais quanto os sociais embora algumas regioes apresentem aumento na atividade agricola outras demonstram estabilizacao das taxas de conversao de terras os especialistas destacam que o comportamento do desmatamento varia conforme fatores locais como politicas publicas demanda economica e condicoes climaticas com base nesses levantamentos estrategias de manejo sustentavel estao sendo debatidas para atender as necessidades economicas sem comprometer o equilibrio ecologico do bioma,Neutra,32.61,63.49,-3.9,2025-05-03 00:00:00
Desmatamento,monitoramento ambiental revela padroes de desmatamento no cerrado um estudo realizado por instituicoes de pesquisa analisou os padroes do desmatamento no cerrado ao longo da ultima decada os dados mostram que enquanto algumas regioes tem enfrentado maior pressao da atividade agricola outras areas apresentam sinais de stabilizacao devido a acoes de monitoramento e fiscalizacao o relatorio tambem destaca a complexidade de equilibrar o crescimento economico com a preservacao ambiental ressaltando a importancia de dados consistentes para o planejamento de politicas publicas e praticas sustentaveis,Neutra,64.78,32.8,-2.42,2025-05-03 00:00:00
Conservação,comunidades locais promovem esforcos para reverter desmatamento no cerrado moradores e organizacoes comunitarias tem liderado iniciativas para restaurar areas degradadas no cerrado focando na recuperacao da vegetacao nativa esses esforcos incluem o plantio de arvores adaptadas ao bioma a conscientizacao ambiental e a implementacao de praticas agricolas mais sustentaveis alem disso campanhas de educacao ambiental tem incentivado empresas locais a adotarem medidas de conservacao contribuindo para a protecao da biodiversidade e para o equilibrio climatico especialistas destacam que a uniao entre sociedade e instituicoes pode garantir resultados ainda mais positivos na preservacao do ecossistema,Positiva,64.31,32.1,-3.59,2025-05-03 00:00:00
Desmatamento,cerrado enfrenta taxa crescente de desmatamento alertam especialistas relatorios recentes indicam que o desmatamento no cerrado tem acelerado em diversas regioes resultando na destruicao de areas fundamentais para a biodiversidade e o equilibrio climatico as pressoes economicas como a expansao da agricultura e a exploracao de recursos naturais tem contribuido significativamente para a perda da vegetacao nativa especialistas destacam que os impactos vao alem da fauna e flora atingindo comunidades locais e ameacando a estabilidade hidrica da regiao a falta de fiscalizacao e o avanco de praticas ilegais sao fatores que continuam a dificultar iniciativas de conservacao,Negativa,32.05,64.98,-2.97,2025-05-03 00:00:00
Desmatamento,desmatamento global ameaca ecossistemas e acelera mudancas climaticas estudos recentes mostram que o desmatamento em escala global continua a avancar com florestas tropicais sendo destruidas a taxas alarmantes regioes como a amazonia o sudeste asiatico e a bacia do congo estao entre as mais afetadas enfrentando perdas significativas de cobertura vegetal devido a expansao agricola mineracao e exploracao madeireira especialistas alertam que a destruicao dessas florestas nao apenas ameaca a biodiversidade local mas tambem contribui para o aumento das emissoes de gases de efeito estufa agravando as mudancas climaticas a perda de habitats naturais coloca em risco milhares de especies e compromete a subsistencia de comunidades que dependem diretamente desses ecossistemas,Negativa,65.89,32.36,-1.76,2025-05-03 00:00:00
Desmatamento,estudo revela dinamica do desmatamento e conservacao no cerrado um relatorio divulgado recentemente analisou a situacao atual do desmatamento no cerrado destacando tanto os fatores que impulsionam a conversao de areas nativas quanto as iniciativas para preservar o bioma os dados mostram que enquanto algumas regioes enfrentam desafios relacionados a expansao agricola outras vem implementando praticas de manejo sustentavel pesquisadores ressaltam a importancia do monitoramento continuo para entender as tendencias e propor solucoes que equilibrem as necessidades economicas e a preservacao ambiental a interacao entre comunidades locais governos e organizacoes tem sido apontada como crucial para a protecao do cerrado,Neutra,66.67,32.88,-0.45,2025-05-03 00:00:00
Desmatamento,acelerado ritmo de desmatamento ameaca florestas tropicais e biodiversidade estudos recentes revelam que o desmatamento em importantes biomas como a amazonia e o cerrado tem aumentado de forma alarmante a expansao da agropecuaria extracao madeireira ilegal e incendios florestais sao os principais motores dessa destruicao a perda de areas naturais nao apenas reduz drasticamente a biodiversidade mas tambem compromete os recursos hidricos e o equilibrio climatico global especialistas alertam que sem medidas urgentes de controle e fiscalizacao os impactos ambientais poderao ser irreversiveis colocando em risco a sobrevivencia de muitas especies e comunidades locais,Negativa,65.38,31.64,-2.97,2025-05-03 00:00:00
Desmatamento,o desmatamento em sao paulo diminuiu no ultimo ano,Positiva,32.86,64.58,-2.56,2025-05-03 00:00:00
Tecnologia Ambiental,apesar do desmatamento crescente novas tecnologias ajudam a detectar e prevenir queimadas com maior eficiencia,Positiva,-5.19,68.95,25.87,2025-05-03 00:00:00
Desmatamento,relatorio anual sobre desmatamento mostra numeros estaveis em comparacao ao ano anterior,Neutra,66.27,31.99,-1.74,2025-05-03 00:00:00
Desmatamento,relatorio anual sobre desmatamento mostra numeros estaveis em comparacao ao ano anterior,Neutra,25.89,-5.23,68.88,2025-05-03 00:00:00
Desmatamento,desmatamento na amazonia bate novo recorde aumentando preocupacoes com a preservacao do bioma,Negativa,68.89,25.89,-5.22,2025-05-03 00:00:00
Restauração Ecológica,programa de reflorestamento recupera areas degradadas e ja conseguiu plantar milhoes de arvores nativas,Positiva,26.03,68.54,-5.43,2025-05-03 00:00:00
Mudanças Climáticas,especialistas debatem a relacao entre queimadas e mudancas climaticas em conferencia internacional,Neutra,25.95,-5.32,68.73,2025-05-03 00:00:00
Tecnologia Ambiental,monitoramento por satelite permite uma rapida identificacao de focos de incendio reduzindo danos ambientais,Positiva,25.89,68.89,-5.22,2025-05-03 00:00:00
Políticas Públicas,governo anuncia novos mecanismos para monitoramento ambiental sem efeitos imediatos na preservacao,Neutra,-5.3,25.94,68.76,2025-05-03 00:00:00
Desmatamento,novo estudo aponta que a floresta amazonica pode estar se aproximando do ponto de nao retorno devido ao desmatamento,Negativa,32.64,-2.9,64.46,2025-05-03 00:00:00
Desmatamento,novo estudo aponta que a floresta amazonica pode estar se aproximando do ponto de nao retorno devido ao desmatamento,Negativa,32.64,-2.9,64.46,2025-05-03 00:00:00
Conservação,comunidades indigenas fortalecem projetos de preservacao ajudando na conservacao de florestas tropicais,Positiva,-5.22,68.89,25.89,2025-05-03 00:00:00
Políticas Públicas,pesquisa revela que politicas de combate ao desmatamento precisam de mais investimento para serem eficazes,Neutra,-5.37,25.99,68.65,2025-05-03 00:00:00
Poluição,a fumaca gerada por incendios florestais afeta a qualidade do ar e a saude de milhoes de pessoas,Negativa,68.72,25.95,-5.32,2025-05-03 00:00:00
Políticas Públicas,parcerias internacionais ampliam investimentos na protecao da amazonia garantindo mais recursos para fiscalizacao,Positiva,66.96,-0.97,32.07,2025-05-03 00:00:00
Políticas Públicas,parcerias internacionais ampliam investimentos na protecao da amazonia garantindo mais recursos para fiscalizacao,Positiva,25.98,68.65,-5.37,2025-05-03 00:00:00
Queimadas,queimadas em areas de pastagem continuam acontecendo mas sem grandes alteracoes nos indices,Neutra,-5.28,25.93,68.79,2025-05-03 00:00:00
Queimadas,numero de incendios criminosos cresce dificultando acoes de combate e fiscalizacao,Negativa,31.76,66.46,-1.78,2025-05-03 00:00:00
Queimadas,numero de incendios criminosos cresce dificultando acoes de combate e fiscalizacao,Negativa,68.95,-5.18,25.87,2025-05-03 00:00:00
Políticas Públicas,esforcos de conscientizacao reduzem o numero de queimadas ilegais em diversas regioes do brasil,Positiva,25.99,68.64,-5.37,2025-05-03 00:00:00
Conservação,organizacoes ambientais discutem desafios e avancos na protecao da floresta amazonica,Neutra,-5.19,25.87,68.94,2025-05-03 00:00:00
Biodiversidade,especies ameacadas de extincao sofrem grande impacto devido a destruicao do habitat natural,Negativa,68.87,25.9,-5.23,2025-05-03 00:00:00
Políticas Públicas,governo intensifica acoes contra o desmatamento e aumenta multas para crimes ambientais,Positiva,25.9,68.87,-5.23,2025-05-03 00:00:00
Tecnologia Ambiental,novas tecnologias surgem para combater incendios florestais mas ainda enfrentam limitacoes,Neutra,26.09,-5.5,68.42,2025-05-03 00:00:00
Queimadas,falta de fiscalizacao permite avanco de queimadas ilegais em areas protegidas,Negativa,68.61,26.0,-5.39,2025-05-03 00:00:00
Políticas Públicas,empresas do agronegocio adotam praticas sustentaveis para reduzir impactos ambientais,Positiva,-5.42,68.57,26.02,2025-05-03 00:00:00
Queimadas,relatorio aponta reducao das queimadas em algumas regioes mas aumento em outras,Neutra,25.94,-5.3,68.77,2025-05-03 00:00:00
Desmatamento,expansao da fronteira agricola contribui para a perda acelerada de cobertura vegetal nativa,Negativa,68.52,-5.44,26.04,2025-05-03 00:00:00
Queimadas,brigadas especializadas conseguem conter incendios florestais antes que eles se espalhem,Positiva,64.55,-3.2,32.25,2025-05-03 00:00:00
Queimadas,brigadas especializadas conseguem conter incendios florestais antes que eles se espalhem,Positiva,25.87,68.93,-5.19,2025-05-03 00:00:00
Políticas Públicas,esforcos para conter o desmatamento seguem em andamento mas resultados concretos sao aguardados,Neutra,-5.47,26.06,68.47,2025-05-03 00:00:00
Biodiversidade,comunidades locais enfrentam dificuldades economicas devido a degradacao ambiental causada por incendios,Negativa,66.07,-2.28,31.65,2025-05-03 00:00:00
Restauração Ecológica,projetos de restauracao ecologica mostram resultados promissores na recuperacao de areas afetadas,Positiva,-1.48,65.93,32.59,2025-05-03 00:00:00
Políticas Públicas,debate sobre alternativas sustentaveis para reduzir a necessidade de queimadas na agricultura ganha destaque,Neutra,-5.34,25.96,68.7,2025-05-03 00:00:00
Mudanças Climáticas,impacto do desmatamento na regulacao climatica preocupa cientistas que alertam para consequencias futuras,Negativa,66.41,32.3,-1.3,2025-05-03 00:00:00
Desmatamento,area sob alertas de desmatamento na amazonia em agosto de 2024 foi a menor em seis anos segundo dados do sistema de monitoramento deterb do instituto nacional de pesquisas espaciais inpe a queda foi de 106 em relacao a agosto de 2023 quando o pais ja havia retomado as politicas ambientais e de 697 em relacao ao mesmo mes de 2022 manter a floresta em pe e um dos compromissos do governo federal ao lado do trabalho de combate aos incendios criminosos e de responsabilizacao dos culpado,Positiva,25.97,68.68,-5.35,2025-05-03 00:00:00
Desmatamento,a area desmatada na amazonia foi de 11088 km² entre agosto de 2019 e julho de 2020 de acordo com numeros oficiais do governo federal divulgados nesta segundafeira 30 pelo instituto nacional de pesquisas espaciais inpe de acordo com o inpe tratase de um aumento de 95 em relacao ao periodo anterior agosto de 2018 a julho de 2019 que registrou 10129 km² de area desmatada,Negativa,68.08,26.67,-5.25,2025-05-03 00:00:00
Queimadas,as queimadas no cerrado estao aumentando no ano de 2025,Negativa,68.92,25.88,-5.2,2025-05-03 00:00:00
Políticas Públicas,o governo esta conseguindo controlar o desmatamento e as queimadas em noso pais,Positiva,-5.23,68.87,25.9,2025-05-03 00:00:00
Restauração Ecológica,nos ultimos anos iniciativas de reflorestamento e conservacao tem mostrado avancos significativos na recuperacao de areas desmatadas no cerrado diversas organizacoes e pesquisadores estao investindo em tecnicas inovadoras como o plantio de especies nativas e a regeneracao natural assistida para restaurar a biodiversidade do bioma alem disso governos e empresas tem promovido incentivos para praticas agricolas mais sustentaveis reduzindo a necessidade de desmatamento para expansao da produc,Positiva,30.74,67.55,-1.71,2025-05-03 00:00:00
Restauração Ecológica,novos dados indicam que as acoes de preservacao e reflorestamento estao contribuindo para a reducao do desmatamento no cerrado projetos voltados a recuperacao de areas degradadas e ao manejo sustentavel da vegetacao tem mostrado resultados promissores garantindo maior protecao ao biomaalem disso politicas ambientais mais rigorosas e o aumento da fiscalizacao ajudaram a coibir praticas ilegais fortalecendo o compromisso com a preservacao da biodiversidade,Positiva,-2.56,64.96,32.48,2025-05-03 00:00:00
Desmatamento,dados recentes mostram que o desmatamento no cerrado continua a avancar em ritmo acelerado colocando em risco a biodiversidade e os recursos hidricos da regiao especialistas alertam que a destruicao de areas nativas pode levar a consequencias irreversiveis como a perda de especies e o comprometimento do equilibrio climatico apesar de esforcos pontuais para conter o problema a falta de fiscalizacao e o avanco de atividades ilegais tem dificultado a preservacao do bioma,Negativa,67.86,28.79,-3.35,2025-05-03 00:00:00
Desmatamento,pesquisadores divulgaram um novo levantamento sobre a atual situacao do desmatamento no cerrado analisando dados de perda de vegetacao nativa e os possiveis impactos ambientais e economicos o estudo indica que embora existam iniciativas voltadas a preservacao a conversao de areas naturais para uso agricola continua sendo um dos principais fatores de alteracao do biomaos especialistas destacam que a tendencia de expansao da producao rural requer estrategias para equilibrar desenvolvimento e conservacao enquanto alguns setores buscam solucoes sustentaveis outros apontam desafios para a implementacao de medidas mais eficazes de protecao ao cerrado,Neutra,26.15,-5.57,68.28,2025-05-03 00:00:00
Poluição,a poluicao gerada pela inteligencia artifical,Negativa,66.01,31.05,-2.95,2025-05-03 00:00:00
Biodiversidade,pesca em grande quantidade de especies invasoras aumenta,Positiva,63.69,32.74,-3.57,2025-05-03 00:00:00
Desmatamento,um relatorio divulgado por pesquisadores ambientais analisou a taxa de desmatamento no cerrado nos ultimos anos os dados indicam que embora haja variacoes sazonais a perda de vegetacao mantem um ritmo semelhante ao de periodos anteriores,Neutra,33.12,-0.89,65.99,2025-05-03 00:00:00
Desmatamento,pesquisadores alertam que o ritmo do desmatamento no cerrado tem aumentado nos ultimos anos colocando em risco diversas especies nativas e os recursos hidricos da regiao a conversao de areas naturais para a agricultura e pecuaria continua sendo um dos principais fatores da destruicao do bioma alem dos impactos ambientais comunidades locais enfrentam dificuldades com a perda de vegetacao afetando o equilibrio climatico e a disponibilidade de agua especialistas reforcam a necessidade de politicas mais rigidas e medidas de fiscalizacao para conter a degradacao do cerrado e preservar seus ecossistemas unicos,Negativa,68.61,26.0,-5.39,2025-05-03 00:00:00
Restauração Ecológica,projetos de reflorestamento e manejo sustentavel tem avancado significativamente na recuperacao de areas desmatadas no cerrado organizacoes ambientais pesquisadores e produtores rurais estao implementando tecnicas inovadoras como o plantio de especies nativas e a regeneracao natural assistida para fortalecer a biodiversidade do bioma alem disso politicas de incentivo a conservacao e praticas agricolas mais sustentaveis tem ajudado a reduzir o impacto ambiental na regiao especialistas afirmam que com a continuidade desses esforcos sera possivel garantir um equilibrio entre o desenvolvimento economico e a preservacao do ecossistema,Positiva,28.45,67.78,-3.77,2025-05-03 00:00:00
Queimadas,um incendio de grandes proporcoes atingiu uma area de mata nativa no interior de nova esperanca destruindo cerca de 10 hectares de floresta em menos de 24 horas,Negativa,64.97,32.16,-2.87,2025-05-03 00:00:00
Restauração Ecológica,governo lanca programa de reflorestamento apos queimadas em area de preservacao,Positiva,29.98,67.12,-2.9,2025-05-03 00:00:00
Queimadas,incendio destroi 10 hectares de floresta nativa e ameaca fauna local,Negativa,64.82,31.62,-3.56,2025-05-03 00:00:00
Restauração Ecológica,comunidade rural planta 10 mil arvores em acao contra desmatamento,Positiva,30.27,66.73,-3.0,2025-05-03 00:00:00
Restauração Ecológica,a ong verde esperanca comecou um plano de reflorestamento em tres municipios com historico de queimadas envolvendo escolas e voluntarios locais,Positiva,31.81,65.11,-3.08,2025-05-03 00:00:00
Restauração Ecológica,iniciativa privada financia a restauracao de 20 hectares de mata destruida por incendios em parceria com entidades ambientais,Positiva,32.31,63.91,-3.78,2025-05-03 00:00:00
Queimadas,embora ainda preocupante a taxa de incendios florestais se manteve proxima dos niveis registrados nos ultimos tres anos segundo dados do instituto nacional do fogo,Neutra,31.66,66.22,-2.12,2025-05-03 00:00:00
Queimadas,embora ainda preocupante a taxa de incendios florestais se manteve proxima dos niveis registrados nos ultimos tres anos segundo dados do instituto nacional do fogo,Neutra,-5.49,26.08,68.43,2025-05-03 00:00:00
Restauração Ecológica,especialistas apontam que o ritmo da recuperacao segue estavel sem grandes avancos nem retrocessos,Neutra,66.9,32.75,-0.35,2025-05-03 00:00:00
Biodiversidade,pesca de animais a beira da extincao aumenta,Negativa,68.22,26.18,-5.6,2025-05-03 00:00:00
Políticas Públicas,governo impede a pesca em grande escala em epoca de acasalamento de especies em extincao,Positiva,66.09,29.56,-4.35,2025-05-03 00:00:00
